Sisa Makanan,Kayu/Ranting,Kertas/Karton,Plastik,Logam,Kain,Karet/Kulit,Kaca,Lainnya,postal_code,Provinsi,Kabupaten/Kota,Kelurahan,Kecamatan,Fasilitas_ID,P,Nama Fasilitas,Jenis,Status,Sampahmasuk (ton/thn),Sampahterkelola (ton/thn),Bahan baku Pakan Ternak,Bahan baku Kompos,Bahan baku Daur Ulang,Bahan baku Up-cycle,Bahan baku Sumber Energi
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,SURYATMAJAN,DANUREJAN,233,2,Bank Sampah Unit Gempita Suryatmajan,BSU,A,0.0,0.0,0.0,0.0,1676.96,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,REJOWINANGUN,KOTAGEDE,234,2,Bank Sampah Unit Pilahan Jaya,BSU,A,0.0,0.0,0.0,0.0,291.77,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,KLITREN,GONDOKUSUMAN,235,2,Bank Sampah Unit Anugerah 13,BSU,A,0.0,0.0,31.2,0.0,2341.34,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,SOROSUTAN,SOROSUTAN,236,2,Bank Sampah Unit Berkah Mandiri,BSU,A,0.0,0.0,0.0,0.0,1950.96,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,BUMIJO,JETIS,237,2,Bank Sampah Unit Linuwih,BSU,A,0.0,0.0,0.0,0.0,1218.0,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,MUJA MUJU,UMBULHARJO,238,2,Bank Sampah Unit Sarah Murakabi,BSU,A,0.0,0.0,25.5,0.0,1230.0,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,MUJA MUJU,UMBULHARJO,239,2,Bank Sampah Unit Rila Makarto,BSU,A,0.0,0.0,26.4,0.0,5350.56,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,KEPARAKAN,MERGANGSAN,240,2,Bank Sampah Unit Anggrek Barokah,BSU,A,0.0,0.0,4.2,20.0,934.18,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PAKUNCEN,WIROBRAJAN,241,2,Bank Sampah Unit Ngadimulyo Mandiri,BSU,A,0.0,0.0,30.0,0.0,570.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,SURYODININGRATAN,MANTRIJERON,242,2,Bank Sampah Unit Ngudi Peni,BSU,A,0.0,0.0,0.0,0.0,3840.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,BAUSASRAN,DANUREJAN,243,2,Bank Sampah Unit Amanah Bausasran,BSU,A,0.0,0.0,0.0,0.0,2007.3,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,SURYATMAJAN,DANUREJAN,244,2,Bank Sampah Unit Rapi Bank,BSU,A,0.0,0.0,0.0,0.0,350.7,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,REJOWINANGUN,KOTAGEDE,245,2,Bank Sampah Unit Migunani 06 Rejowinangun,BSU,A,0.0,0.0,0.0,0.0,1128.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,KLITREN,GONDOKUSUMAN,246,2,Bank Sampah Unit Anugerah 07,BSU,A,0.0,0.0,0.0,0.0,5400.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,SOROSUTAN,UMBULHARJO,247,2,Bank Sampah Unit Ngudi Rejeki 04 Sorosutan,BSU,A,0.0,0.0,0.0,0.0,1434.72,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,BUMIJO,JETIS,248,2,Bank Sampah Unit Peleman,BSU,A,0.0,0.0,0.0,0.0,2340.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,KEPARAKAN,MERGANGSAN,249,2,Bank Sampah Unit Dahlia Keparakan,BSU,A,0.0,0.0,0.0,0.0,2318.23,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PAKUNCEN,WIROBRAJAN,250,2,Bank Sampah Unit Manunggaling Warga,BSU,A,0.0,0.0,0.0,1200.0,588.0,0.0,0.0
